full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" @seguridadmed Medellín, el tránsito,deberían hacer estos operativos, pero varios a la vez,. En Aranjuez, Poblado, guayabal, buenos aires, Villahermosa, villatina. Y 12 octubre, Y se acabaría la delincuencia en un 50% Allí están más del 80% de criminales, e infractores de movilidad",AlexisFreddie,"Hernani, España",2022-05-19 20:28:44,1527385788656140000,0,0,13
" En Comité de Accesibilidad de Medellín, CAME, se socializaron las iniciativas Metro de la 80, Ciclorutas, Manual de Espacio Público e iniciativa Movilidad Incluyente e Innovadora, con el fin de hacer recomendaciones oportunas sobre accesibilidad universal.#MedellínFuturo #Hágale",alterdixon,Medellín,2022-05-19 20:17:43,1527383016212810000,4,23,13
" #Medellín | En 2022, la Secretaría de Movilidad ha sensibilizado a 2.172 personas en puntos pedagógicos de esta avenida..",EnTertulia_,"Medellín, Colombia",2022-05-19 18:25:52,1527354870314960000,0,0,13
" #Medellín | En 2022, la Secretaría de Movilidad ha sensibilizado a 2.172 personas en puntos pedagógicos de esta avenida..",TotusTVDigital,"Medellín, Colombia",2022-05-19 18:25:24,1527354752505640000,0,0,13
" Los taxis aéreos son un avance muy importante para la sociedad . Desde @esumedellin estamos enfocados en convertir el río Medellín en la primer autopista de drones en Latinoamérica dando soluciones al tema de seguridad 🔒, prevención de desastres 🌪️, domicilios 🛍️ y movilidad 🚶🏻‍♂️",emunozar,Colombia,2022-05-19 17:20:06,1527338320170080000,3,8,13
" Conversando con líderes camioneros vía Medellín-Quibdó encontramos que, una vez más, la corrupción está afectando sus derechos. Por eso, hacemos un llamado a las autoridades, para entablar un diálogo que permita dar movilidad de suministros de víveres a los habitantes de Quibdó.",IBetancourtCol,"Bogotá, D.C., Colombia",2022-05-19 16:48:51,1527330455250300000,1,27,13
" En Medellín tenemos ciudadanos ejemplares como José Duván, un taxista con vocación de servicio que brinda seguridad y comodidad 🚕🚖, garantizando una buena atención a sus pasajeros. Una mejor movilidad es priorizar el transporte público individual en los recorridos de ciudad.",AlcaldiadeMed,"Medellín, Colombia",2022-05-19 16:01:59,1527318660813330000,1,10,13
" #AEstaHora Continuamos con paso a un carril en la vía entre Medellín y Santa Fe de Antioquia, sector El Arriero (PR 38+900). Seguimos en la zona trabajando. ¡Gracias por tu paciencia! @Devimar_SAS #movilidad #DenunciasAntioquia #SomosDenunciasAntioquia",DenunciasAntio2,"Medellín, Colombia",2022-05-19 15:17:47,1527307539167470000,0,2,13
" Con seis cambios viales, se mejorará la movilidad en el sector de San Diego, en Medellín. La señalización de 38 pasos peatonales y una nueva intersección semafórica hacen parte de esta intervención de movilidad.",vivirpoblado,Medellín - Colombia,2022-05-19 14:30:16,1527295578509410000,0,0,13
 @RevistaSemana Colombia en movilidad esta atrazada. 👈Medellin..es la unica ciudad que saca la cara aunque con la inabilidad del alcalde..hay un significativo atrazo,JorgePe76258581,"Medellín, Colombia",2022-05-19 14:07:15,1527289787765230000,0,1,13
 Que desgracia la movilidad en Medellín 😔,1712nannys,,2022-05-19 13:26:03,1527279419089470000,0,0,13
 Odio la movilidad de Medellín. Me reporto desde un trancón el hp.,lfp12_0,"Medellín, Colombia",2022-05-19 12:56:16,1527271923037660000,0,3,13
" @DonIzquierdo_ @carlosecaicedo @DonIzquierdo_ y en Medellín a @QuinteroCalle también le quedó grande la malla vial (huecos por todos lados, movilidad reducida), violencia disparada. Ya nos parecemos a Bogotá 😐",AndresG57437820,,2022-05-19 12:31:03,1527265578234400000,0,0,13
 Movilidad Medellín caso de corrupcion #descuidamosa,luchononroy67,,2022-05-19 12:16:47,1527261985217380000,0,0,13
 @C1Palomino se perdieron de la chiva de Medellín movilidad,luchononroy67,,2022-05-19 12:09:46,1527260220816250000,0,0,13
" @numeral767 Buenas noches, el día de mañana hay alguna actividad deportiva en la vía Caucasia a Medellín que llegue afectar la movilidad sobre ese corredor?",johnpereira77,,2022-05-19 01:34:50,1527100434405800000,0,0,13
" Secretaria de movilidad de Medellín, hasta cuando debemos esperar una solución para la intersección en la carrera 84 con calle 37 b, Solo accidentes y no hacen nada para evitarlos.",AndrsRestrepo1,Colombia,2022-05-19 01:29:05,1527098987613920000,0,0,13
" Consulta las notificaciones por aviso por #MovilidadEnLínea en 4 ⃣ pasos: 💻 Ingresa a 👉 🖱 Haz clic en ""consulta notificaciones por aviso"". 🔍 Visualiza la lista de comparendos por fotodetección. ✅También puedes buscar con tu número de documento.",sttmed,"Medellín, Colombia",2022-05-18 17:49:09,1526983240543710000,0,3,13
 Como con el Inder Medellín cuando fuiste alcalde y le bajaste significativamente el presupuesto? PERO te gastaste más de 130 mil millones en tu imagen a costa de la movilidad sostenible y otros programas sociales... Sos un falso y una fachada de lo cochino de este pais,PsicoRide,MDE - COL,2022-05-18 17:21:09,1526976195396520000,0,2,13
" @sergaroz Hola @sergaroz buenos días, la vía Santa Fé de Antioquia - Medellín continúa con cierre total. Las autoridades del sector trabajan en restablecer la movilidad. El tiempo de apertura se encuentra en verificación. Cualquier novedad será comunicada en nuestras redes sociales.",numeral767,Colombia,2022-05-18 17:03:38,1526971786700670000,0,1,13
 #Notired360 ⚠️🚦🛣️ Cambios viales para mejorar la movilidad en #Medellín. @sttmed,notired360,"Medellín, Antioquia",2022-05-18 16:20:34,1526960948052990000,3,4,13
