full_text,user,location,date,tweet_id,number_rt,number_likes,id_key_word
" El jardín botánico de Medellín me tiene cautivado. De algo más de 13 hectáreas, cuenta con centros de cultura y educación ambiental. Un museo vivo en el centro de la ciudad, con extraordinaria biodiversidad.",JAntonioTejada,Panama,2022-05-14 22:38:43,1525606561330170000,2,10,11
" Las luminarias que Medellín está estrenando se podrían describir, en términos generales, como ""asesinas de biodiversidad"". El calor y la luz que producen es tanto que matan cualquier animal que pase cerca. Impiden que toda la vida animal nocturna prospere.",MemoUrbanista,"Medellín, Colombia",2022-05-12 01:48:49,1524567237251990000,2,13,11
" @MagicThe0 @NoticiasRCN @santiagoangelp @petrogustavo @FicoGutierrez @ingrodolfohdez @sergio_fajardo Muy cierto sino mire a Medellín reconocida mundialmente por capital de innovación, energías limpias, desarrollo industrial, y a muchos de sus municipios cercanos, pujantes, trabajadores la mayoría con Gobernantes de derecha.",Cristia74747986,"Túquerres, Colombia",2022-05-11 03:26:41,1524229480688010000,1,1,12
" @VaneGonzalezMon @QuinteroCalle @juanduquega @camivillamizar @AlcaldiadeMed @AndreeUribeM @Karen_delgadom Que chevere para la Dama. De verdad Medellín con tantas necesidades de gestión por las calles con indigentes o vias , etc. y usted se paga un curso de inglés? No sabia que ya en Medellín se dejo el español. Se hubiera hecho un curso mejor de servicios públicos y hubiera ayudado +",betitoarias26,,2022-05-18 03:05:18,1526760815486960000,0,0,servicios
" @estebanrestre @QuinteroCalle Jajajajaja y en que Medellín vive usted? Pudriéndonos con las basuras, jardines vueltos matorrales, el mismo metro de siempre colapsado…. Y Epm fue algo de Duque. Por cierto qué pasó con el congelamiento de las tarifas de los servicios públicos?",DianaVanegasJ,Medellin,2022-05-18 01:45:46,1526740798506660000,0,0,servicios
" Pura paja… 1. Los servicios subieron, las polizas pagaron siniestro. 2. Valle del software, se les cayo el negocio con el lote de Lupe. 3. Ecociudad: la ciudad invadida por la manigua y las basuras. 4. La seguridad: Medellin mas insegura… .@QuinteroCalle 🤡",GioArrietaF,"Envigado, Colombia",2022-05-17 22:26:44,1526690710887580000,0,0,servicios
" @estebanrestre @QuinteroCalle Dijo que iba a congelar las tarifas de los servicios públicos….. oh sorpresa!!, hace dos meses subieron las tarifas. Pregunta: por donde pasa el metro subterráneo y el metro ligero en Medellín??",Juan_Tamayo,"Bogota, Colombia ",2022-05-17 21:47:17,1526680781774590000,1,1,servicios
" 15:47 #PrecauciónVial servicios de emergencia acuden a Vasco de Quiroga y Roberto Medellín en Santa Fe, permita su paso.",OVIALCDMX,"Liverpool #136, Col. Juárez",2022-05-17 20:47:51,1526665827063410000,0,2,servicios
" @NoticiasCaracol Los servicios públicos en Medellín, están por las nubes, asfixiados cada vez mas, no alcanza el dinero!",AnaMaraSnchezT3,,2022-05-17 20:36:07,1526662871572260000,0,0,servicios
" Con dinero casi todas las ciudades son agradables para vivir. Ahora, en conjunto a clima,vías,oferta de entretenimiento,comida y tamaño mas cobertura servicios públicos y salud pues: Bucaramanga Medellin Villavicencio",Sveralopez,Avenida Siempre Viva 742,2022-05-17 17:07:25,1526610351688660000,0,6,servicios
